Compensation of employees (% of expense),Adjusted savings: education expenditure (current US$),Population growth (annual %),Net migration,GDP growth (annual %),Lending interest rate (%),"Inflation, consumer prices (annual %)","Life expectancy at birth, total (years)",Households and NPISHs final consumption expenditure (% of GDP),"Foreign direct investment, net inflows (% of GDP)","School enrollment, tertiary (% gross)",Tax revenue (% of GDP),"Short-term debt (% of exports of goods, services and primary income)","Unemployment, total (% of total labor force) (national estimate)"
25.6376929325751,819993880.171667,2.37932952200941,42246.0,10.0,,18.0354301616893,58.754,60.5181568333198,0.248336362296103,3.38935995101929,21.7798383565442,,1.66
23.9908503767492,933271393.314505,2.34066633687342,44710.0,7.87878787878789,,12.2659085141911,59.138,65.8189423806615,0.155522389416403,3.86744999885559,21.9464341903122,13.160221882788,
23.163492456097,941390741.473355,2.30844263861505,46789.0,2.24719101123596,,9.44542395353452,59.757,69.8783886666018,0.249560636589718,3.88013005256653,20.0561437871232,16.9972736673874,2.85
21.8052738336714,794884223.063026,2.26871796150833,47375.0,4.39560439560441,,11.7997405215176,60.273,60.7065901738998,0.360261287911682,4.08438014984131,18.822865330757,23.3514547468036,
21.6248288452761,788121646.759924,2.20569643602313,43693.0,6.84210526315789,,10.45503482319,60.728,61.8749339496501,0.261626776354664,5.33847999572754,17.4843891433901,24.4131455399061,
21.5871297084075,754925097.339325,2.10887582043187,37447.0,2.46305418719213,,4.72453615680211,61.307,60.3894815077575,0.36346800280403,6.10876989364624,18.7508973741776,30.0362480758727,2.1
24.0649540795954,668255010.590908,1.9966681756408,30990.0,5.76923076923077,21.5041666666667,5.822666961752,61.722,63.9662824159718,0.322685251406443,6.35422992706299,14.620769821124,40.4833458552467,2.59
26.056195674146,592139013.403535,1.92425957581405,26709.0,5.0,21.6666666666667,9.27865613161588,61.973,61.9869584968061,0.507048517276106,7.54273986816406,15.083694595844,33.7738933459006,2.55
26.0131537738804,615364283.13275,1.88061055652599,25379.0,5.62770562770562,22.0975,8.04536715123099,62.211,63.138120598319,0.683272607101238,6.83737993240356,15.0839380513536,31.4787084698175,2.74
27.068912077694,719120909.946282,1.83542933625866,19910.0,7.78688524590163,21.6991666666667,6.41553963494971,62.696,59.9540508192436,0.722064256022232,7.92065000534058,15.9572018252866,31.3840462791704,
24.2424242424242,632043065.079998,1.77829086687315,11542.0,7.22433460076046,20.825,7.81919144730547,63.181,63.4897636571485,1.02976494269192,8.38504981994629,19.1370837619352,37.4875437651495,2.541
26.5532081377152,695362350.079387,1.74217749925866,3096.0,6.77581743971632,25.5333333333333,9.41905827724146,63.537,64.2216186224501,1.2707722797342,8.65165042877197,17.1896969094773,42.8920716725595,2.617
26.6303026320113,763385627.464036,1.71013530352426,-2608.0,6.49750651873819,24.0333333333333,7.52351717022748,64.126,62.839953902599,1.38798883350104,9.49180030822754,17.1229526962939,47.5124325746612,2.734
27.7783440644661,737440625.875872,1.67182800963408,-3474.0,6.49640811847792,20.5866666666667,9.67189338180118,64.598,58.5119951191082,1.26830064559013,9.4519100189209,14.3564203316314,43.2442179160456,2.782
